 ,Label,Angle,Length
1,scale,1.245,966.228
2,Ax-control,1.289,933.236
3,,7.472,922.835
4,,-5.178,930.798
5,,4.630,854.789
6,,-1.407,855.258
7,ND,3.562,772.493
8,,10.389,549.000
9,,-170.538,310.221
10,Ax-LNC EOBII,-3.685,886.834
11,,3.180,865.332
12,,-13.160,856.493
13,,1.081,795.141
14,,-9.884,803.933
15,,-13.142,699.315
16,,3.865,445.012
17,,-173.177,353.504
18,scale,-3.190,970.503
19,Ex-LNC EOBII,3.941,1353.200
20,,4.540,1212.805
21,,1.760,1269.599
22,,-4.007,1245.043
23,,-1.374,1251.360
24,,-6.870,1254.004
25,,8.723,573.636
26,,-176.934,504.723
27,Ex-LNC EOBII,-3.985,1338.235
28,,-8.378,1276.622
29,,0.269,1278.014
30,,-2.380,1228.059
31,,-5.973,1239.730
32,,2.246,1224.941
33,,3.521,586.107
34,,-175.544,463.400
35,S7-LNC EOBII,-3.142,1532.304
36,,0.114,1506.003
37,,-5.143,1506.063
38,,-1.447,1425.455
39,,-4.223,1425.871
40,,-5.750,1317.629
41,,0.190,903.005
42,,-174.779,593.462
43,S7-LNC EOBII,-1.979,1563.933
44,,1.681,1533.660
45,,-5.122,1512.039
46,,0.000,1440.000
47,,-3.862,1425.237
48,ND,-3.862,1425.237
49,,1.328,906.243
50,,-170.538,656.938
51,S7-LNC EOBII,-4.458,1543.671
52,,-5.643,1515.741
53,,-1.657,1522.312
54,,-3.027,1439.692
55,,-1.577,1454.226
56,,-7.231,1343.093
57,,-0.425,944.359
58,,-176.088,586.033
59,S7-8,-2.006,1542.945
60,,3.393,1520.666
61,,-2.634,1501.586
62,,1.189,1446.311
63,,-1.805,1428.709
64,,-2.528,1360.324
65,,4.021,941.317
66,,-170.059,590.871
67,Ax-PDS,-10.972,898.424
68,,-4.519,875.723
69,,-18.804,881.352
70,,-6.892,824.962
71,,-14.432,842.589
72,,-16.528,769.808
73,,-4.373,511.489
74,,-174.908,304.201
75,scale,-3.543,970.856
76,Ex-EOBII,-9.267,1304.020
77,,-5.348,1319.744
78,,-10.748,1319.141
79,,-8.451,1285.965
80,,-10.784,1282.653
81,,-9.194,1264.242
82,,-1.107,621.116
83,,-179.613,444.010
84,Ex-LNC EOBII,2.783,1297.530
85,,5.752,1227.180
86,,1.380,1245.361
87,,5.651,1157.627
88,,-0.875,1179.137
89,,-5.008,1168.461
90,,8.173,569.787
91,,-168.473,465.387
92,S7-LNC EOBII,3.229,1544.452
93,,1.710,1542.343
94,,6.430,1554.067
95,,5.644,1454.049
96,,2.399,1457.583
97,,7.223,1384.601
98,,7.599,960.764
99,,-168.375,605.093
100,S7-LNC EOBII,0.649,1590.102
101,,3.829,1572.509
102,,-0.876,1569.184
103,,2.225,1468.107
104,,-0.116,1479.003
105,,3.461,1391.538
106,,5.585,955.536
107,,-173.211,634.449
108,S7-LNC EOBII,1.652,1560.649
109,,4.070,1521.837
110,,-2.146,1522.068
111,,3.516,1418.670
112,,-0.122,1413.003
113,,5.229,1349.617
114,,4.857,921.308
115,,-166.176,590.093
116,S7-G,3.462,1589.901
117,,5.868,1525.995
118,,-0.563,1527.074
119,,5.119,1445.767
120,,-0.235,1461.012
121,,7.299,1345.907
122,,7.922,935.933
123,,-173.089,598.348
124,Ex-E9,0.284,1209.015
125,,0.144,1194.004
126,,-9.321,1203.897
127,,-6.616,1171.802
128,,-1.336,1158.315
129,,2.214,1164.870
130,,2.785,555.656
131,,-170.166,456.710
132,Ex-E9,0.813,1269.128
133,,3.423,1256.241
134,,-6.325,1225.459
135,,5.978,1152.266
136,,0.294,1170.015
137,,-5.221,1186.924
138,,5.587,554.635
139,,-170.272,426.127
140,S7-E9,-3.097,1610.352
141,,-1.446,1545.492
142,,-6.742,1558.779
143,,-2.108,1467.994
144,,-5.954,1474.957
145,,-0.507,1356.053
146,,-2.422,993.888
147,,-171.453,524.829
148,S7-E9,3.180,1514.332
149,,3.642,1463.957
150,,-2.216,1474.102
151,,-2.345,1393.167
152,,1.376,1374.396
153,,3.374,1325.297
154,,4.086,926.354
155,,-175.389,559.812
156,S7-E9,-7.796,1526.104
157,,-2.300,1495.204
158,,-9.901,1483.087
159,,-4.917,1400.152
160,,-8.561,1410.718
161,,-9.291,1319.308
162,,-10.204,914.464
163,,164.445,604.126
164,S7-G,6.627,1455.727
165,,7.740,1411.423
166,,3.825,1424.482
167,,7.077,1331.472
168,,2.918,1336.398
169,,8.841,1242.714
170,,9.223,867.159
171,,-163.453,614.543
172,scale,-178.358,942.387
173,Ex-E9,0.422,1221.033
174,,2.976,1213.636
175,,-5.454,1199.430
176,,-2.936,1171.537
177,,0.148,1158.004
178,,6.242,1158.870
179,,6.483,531.398
180,,-173.333,465.145
181,Ex-E8,-3.778,1274.771
182,,7.575,1183.328
183,,-4.788,1186.139
184,,4.776,1153.003
185,,0.597,1152.062
186,,-5.993,1149.282
187,,8.484,549.008
188,,-165.296,437.321
189,Ax-PDS,-2.072,912.597
190,,2.699,891.989
191,,-13.990,893.502
192,,-0.614,840.048
193,,-10.305,838.525
194,,-14.755,753.860
195,,2.911,531.686
196,,-173.962,313.740
197,S7-E8,-2.347,1465.229
198,,3.501,1424.659
199,,-5.423,1428.394
200,,-1.647,1356.561
201,,2.149,1359.957
202,,4.115,1254.233
203,,3.589,862.692
204,,-166.984,612.742
205,S7-LNC EOBII,-3.076,1565.256
206,,1.818,1512.762
207,,-4.819,1535.429
208,,0.820,1467.150
209,,-3.508,1421.665
210,,-5.422,1365.109
211,,3.089,946.375
212,,-172.708,638.161
213,S7-LNC EOBII,-3.996,1506.663
214,,-0.583,1473.076
215,,-7.375,1448.988
216,,-5.371,1410.191
217,,-2.335,1399.162
218,,-0.134,1278.004
219,,-0.981,876.128
220,,-173.690,627.803
221,scale,-178.013,951.572
222,Ex-LNC EOBII,3.013,1312.815
223,,7.640,1241.018
224,,-1.526,1239.439
225,,1.697,1215.533
226,,5.105,1213.814
227,,12.125,1199.764
228,,-3.756,595.279
229,,177.290,507.568
230,Ex-LNC EOBII,-5.856,1293.752
231,,-0.539,1275.056
232,,-12.017,1239.156
233,,-7.370,1216.048
234,,-1.685,1224.529
235,,1.302,1188.307
236,,-12.560,593.196
237,,166.950,465.010
238,Ex-LNC EOBII,7.900,1266.014
239,,6.340,1222.477
240,,-6.111,1240.046
241,,-1.571,1203.453
242,,3.477,1187.185
243,,6.932,1217.904
244,,-7.575,568.965
245,,172.659,493.042
246,Ax-LNC EOBII,-3.254,898.449
247,,5.177,897.662
248,,-9.997,898.644
249,,-6.386,836.188
250,,1.215,849.191
251,,4.070,760.919
252,,-9.909,505.542
253,,164.305,377.058
254,Ax-E8,-12.442,863.276
255,,-1.469,819.269
256,,-17.118,825.573
257,,-3.447,748.354
258,,-12.016,764.364
259,,-17.324,685.078
260,,-1.146,450.090
261,,-172.694,353.873
262,Ex-G,2.153,1197.846
263,,6.769,1196.338
264,,5.514,1217.634
265,,-2.314,1188.969
266,,-0.718,1197.094
267,,3.229,1171.860
268,,9.260,559.289
269,,-174.213,446.275
270,Ax-LNC EOBII,-0.790,870.083
271,,5.213,858.551
272,,-10.020,862.149
273,,1.895,816.447
274,,-6.722,794.462
275,,-13.449,709.454
276,,6.798,456.207
277,,-165.358,344.177
278,S7-E8,1.173,1611.338
279,,6.340,1548.471
280,,-0.554,1551.073
281,,3.672,1451.981
282,,0.593,1449.078
283,,-1.860,1386.730
284,,6.279,932.595
285,,-169.670,619.033
286,S7-LNC EOBII,0.000,1443.000
287,,4.593,1423.572
288,,-2.686,1408.547
289,,-1.538,1341.483
290,,2.534,1357.327
291,,4.597,1197.853
292,,3.855,847.918
293,,-167.619,629.643
294,S7-LNC EOBII,-3.938,1572.713
295,,-8.686,1529.544
296,,-2.634,1501.586
297,,-2.505,1441.377
298,,-5.367,1443.327
299,,-1.566,1317.492
300,,-8.858,935.153
301,,167.381,617.927
302,S7-LNC EOBII,-1.994,1551.940
303,,-3.301,1494.144
304,,2.210,1504.785
305,,1.126,1425.262
306,,-2.836,1414.733
307,,-2.873,1317.321
308,,4.779,900.130
309,,-176.239,640.379
310,S7-E8,3.053,1577.238
311,,7.669,1528.673
312,,5.656,1552.557
313,,4.545,1438.524
314,,0.361,1428.028
315,,5.115,1379.494
316,,0.730,942.076
317,,170.109,593.826
318,S7-G,1.061,1458.250
319,,3.644,1415.863
320,,-2.300,1420.144
321,,2.562,1342.342
322,,-1.545,1335.485
323,,-2.746,1252.438
324,,4.323,875.491
325,,-170.066,539.083
326,S7-PDS,-3.983,1554.756
327,,0.115,1491.003
328,,-6.997,1502.188
329,,-1.558,1434.530
330,,-4.574,1432.543
331,,-5.206,1322.456
332,,0.554,930.044
333,,-175.646,592.711
334,Ex-E8,2.463,1117.032
335,,-4.325,1074.059
336,,6.728,1126.759
337,,3.897,1103.552
338,,0.477,1080.037
339,,10.201,1033.333
340,,10.555,491.314
341,,-165.315,449.690
342,Ex-E8,5.549,1271.961
343,,6.592,1280.466
344,,-2.835,1273.559
345,,-0.424,1215.033
346,,4.410,1209.581
347,,8.929,1217.756
348,,9.560,578.028
349,,-169.928,463.138
350,Ex-G,1.177,1314.277
351,,-0.282,1218.015
352,,9.203,1200.454
353,,2.535,1153.128
354,,6.242,1158.870
355,,11.514,1157.289
356,,-3.077,558.806
357,,174.668,451.956
358,Ex-LNC EOBII,-13.015,1265.509
359,,-11.394,1199.644
360,,-1.121,1227.235
361,,-2.958,1162.549
362,,-8.193,1157.817
363,,1.776,1161.558
364,,1.868,552.293
365,,-175.515,460.410
366,S7-LNC EOBII,-15.073,1407.422
367,,-15.464,1372.782
368,,-8.011,1356.234
369,,-10.532,1286.109
370,,-13.640,1298.323
371,,-24.633,1154.626
372,,-12.801,822.140
373,,-170.742,552.602
374,S7-LNC EOBII,1.826,1506.765
375,,7.712,1453.143
376,,-2.121,1459.000
377,,0.000,1380.000
378,,6.587,1386.149
379,,7.753,1289.791
380,,8.102,851.498
381,,-172.100,633.007
382,S7-LNC EOBII,1.110,1548.291
383,,5.049,1499.820
384,,-2.639,1498.589
385,,2.874,1435.806
386,,-0.830,1449.152
387,,0.650,1323.085
388,,5.540,901.209
389,,-170.910,607.631
390,Ax-E8,5.650,853.145
391,,13.335,832.445
392,,-3.111,829.222
393,,9.533,797.007
394,,1.953,792.460
395,,-6.766,712.966
396,,14.816,480.993
397,,-162.979,307.467
398,S7-E8,-4.023,1368.372
399,,1.429,1323.412
400,,-8.550,1331.801
401,,-3.294,1253.070
402,,-6.936,1242.091
403,,-1.465,1173.384
404,,0.677,762.053
405,,-174.373,611.949
406,S7-PDS,-0.352,1467.028
407,,5.598,1415.046
408,,-5.143,1416.764
409,,1.742,1348.936
410,,-1.928,1338.423
411,,2.648,1190.937
412,,3.782,834.149
413,,-166.368,619.127
414,S7-E9,0.432,1590.045
415,,2.534,1515.800
416,,0.225,1526.343
417,,2.342,1468.893
418,,-0.549,1462.407
419,,6.574,1328.392
420,,-2.312,966.787
421,,170.954,610.594
422,S7-E9,0.000,1476.000
423,,9.071,1446.087
424,,0.615,1398.080
425,,1.644,1359.559
426,,7.344,1361.167
427,,7.975,1254.129
428,,10.499,872.608
429,,-171.987,624.094
430,Ax-LNC EOBII,-4.679,845.819
431,,8.501,852.364
432,,-6.159,838.842
433,,5.951,781.211
434,,-4.416,779.313
435,,6.058,739.127
436,,7.866,460.331
437,,-162.019,359.562
