"","plant","pistil","anth1","anth2","anth3","anth4","anth5","D1","D2"
"1","Ax-control","3.86","3.82","3.85","3.54","3.54",NA,"2.27","1.28"
"2","Ax-LNC EOBII","3.67","3.58","3.55","3.29","3.33","2.90","1.84","1.46"
"3","Ex-LNC EOBII","5.58","5.00","5.23","5.13","5.16","5.17","2.36","2.08"
"4","Ex-LNC EOBII","5.52","5.26","5.27","5.06","5.11","5.05","2.42","1.91"
"5","S7-LNC EOBII","6.32","6.21","6.21","5.88","5.88","5.43","3.72","2.45"
"6","S7-LNC EOBII","6.45","6.32","6.23","5.94","5.87",NA,"3.74","2.71"
"7","S7-LNC EOBII","6.36","6.25","6.27","5.93","5.99","5.54","3.89","2.42"
"8","S7-8","6.36","6.27","6.19","5.96","5.89","5.61","3.88","2.44"
"9","Ax-PDS","3.70","3.61","3.63","3.40","3.47","3.17","2.11","1.25"
"10","Ex-EOBII","5.37","5.44","5.43","5.30","5.28","5.21","2.56","1.83"
"11","Ex-LNC EOBII","5.35","5.06","5.13","4.77","4.86","4.81","2.35","1.92"
"12","S7-LNC EOBII","6.36","6.35","6.40","5.99","6.01","5.70","3.96","2.49"
"13","S7-LNC EOBII","6.55","6.48","6.47","6.05","6.09","5.73","3.94","2.61"
"14","S7-LNC EOBII","6.43","6.27","6.27","5.85","5.82","5.56","3.80","2.43"
"15","S7-G","6.55","6.29","6.29","5.96","6.02","5.55","3.86","2.47"
"16","Ex-E9","4.98","4.92","4.96","4.83","4.77","4.80","2.29","1.88"
"17","Ex-E9","5.23","5.18","5.05","4.75","4.82","4.89","2.29","1.76"
"18","S7-E9","6.63","6.37","6.42","6.05","6.08","5.59","4.09","2.16"
"19","S7-E9","6.24","6.03","6.07","5.74","5.66","5.46","3.82","2.31"
"20","S7-E9","6.29","6.16","6.11","5.77","5.81","5.44","3.77","2.49"
"21","S7-G","6.00","5.82","5.87","5.49","5.51","5.12","3.57","2.53"
"22","Ex-E9","5.18","5.15","5.09","4.97","4.92","4.92","2.26","1.97"
"23","Ex-E8","5.41","5.02","5.03","4.89","4.89","4.88","2.33","1.86"
"24","Ax-PDS","3.87","3.79","3.79","3.57","3.56","3.20","2.26","1.33"
"25","S7-E8","6.22","6.05","6.06","5.76","5.77","5.32","3.66","2.60"
"26","S7-LNC EOBII","6.64","6.42","6.52","6.23","6.03","5.79","4.02","2.71"
"27","S7-LNC EOBII","6.40","6.25","6.15","5.99","5.94","5.42","3.72","2.66"
"28","Ex-LNC EOBII","5.52","5.22","5.21","5.11","5.10","5.04","2.50","2.13"
"29","Ex-LNC EOBII","5.44","5.36","5.21","5.11","5.15","5.00","2.49","1.95"
"30","Ex-LNC EOBII","5.32","5.14","5.21","5.06","4.99","5.12","2.39","2.07"
"31","Ax-LNC EOBII","3.78","3.77","3.78","3.51","3.57","3.20","2.13","1.58"
"32","Ax-E8","3.63","3.44","3.47","3.15","3.21","2.88","1.89","1.49"
"33","Ex-G","5.04","5.03","5.12","5.00","5.03","4.93","2.35","1.88"
"34","Ax-LNC EOBII","3.66","3.61","3.62","3.43","3.34","2.98","1.92","1.45"
"35","S7-E8","6.77","6.51","6.52","6.10","6.09","5.83","3.92","2.60"
"36","S7-LNC EOBII","6.07","5.98","5.92","5.64","5.71","5.04","3.56","2.65"
"37","S7-LNC EOBII","6.61","6.43","6.31","6.06","6.07","5.54","3.93","2.60"
"38","S7-LNC EOBII","6.52","6.28","6.33","5.99","5.95","5.54","3.78","2.69"
"39","S7-E8","6.63","6.43","6.53","6.05","6.00","5.80","3.96","2.50"
"40","S7-G","6.13","5.95","5.97","5.64","5.61","5.26","3.68","2.27"
"41","S7-PDS","6.54","6.27","6.31","6.03","6.02","5.56","3.91","2.49"
"42","Ex-E8","4.70","4.51","4.74","4.64","4.54","4.34","2.07","1.89"
"43","Ex-E8","5.35","5.38","5.35","5.11","5.08","5.12","2.43","1.95"
"44","Ex-G","5.52","5.12","5.05","4.85","4.87","4.86","2.35","1.90"
"45","Ex-LNC EOBII","5.32","5.04","5.16","4.89","4.87","4.88","2.32","1.94"
"46","S7-LNC EOBII","5.92","5.77","5.70","5.41","5.46","4.85","3.46","2.32"
"47","S7-LNC EOBII","6.33","6.11","6.13","5.80","5.83","5.42","3.58","2.66"
"48","S7-LNC EOBII","6.51","6.30","6.30","6.04","6.09","5.56","3.79","2.55"
"49","Ax-E8","3.59","3.50","3.49","3.35","3.33","3.00","2.02","1.29"
"50","S7-E8","5.75","5.56","5.60","5.27","5.22","4.93","3.20","2.57"
"51","S7-PDS","6.17","5.95","5.96","5.67","5.63","5.01","3.51","2.60"
"52","S7-E9","6.68","6.37","6.42","6.17","6.15","5.58","4.06","2.57"
"53","S7-E9","6.20","6.08","5.88","5.72","5.72","5.27","3.67","2.62"
"54","Ax-LNC EOBII","3.56","3.58","3.53","3.28","3.28","3.11","1.94","1.51"
